Статус оповещения;Перегон;Продолжительность;Признак вины сторонней организации;Признак вины сервисной организации;Предприятие сторон. организаций;Предприятие сервис. организаций;Серия отказавшего локомотива;Бортовой номер отказавшего локомотива;Категория отказа;ОТС 1 уровня;ОТС 3 уровня;ID отказа;Начало отказа;Группа причин;ОТС 2 уровня;Вид следования отказавшего локомотива;теп / эле;месяц;дат;ден
расследован;ГАТЧИНА-Т-БАЛТ;76;нет;есть;;;ВЛ10;1359;3 категория;Тяговые электрические машины локомотива  МВПС;Коллектор тягового двигателя постоянного тока;11608516;02.01.2021 19:23;Неисправность коллектора тягового двигателя постоянного тока;Тяговый двигатель постоянного тока;грузовое;электровозы;1;02.01.2021;2
расследован;НОВОЛИСИНО;145;нет;есть;;;ВЛ10У;664;1 категория;Вспомогательные электрические машины локомотива  МВПС;Щеточный аппарат электродвигателя постоянного тока;11608609;03.01.2021 02:05;Неисправность щеточного аппарата электродвигателя постоянного тока;Электродвигатель постоянного тока;грузовое;электровозы;1;03.01.2021;3
расследован;ГУЗЯТИНО;78;нет;есть;;;2ТЭ116У;114;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели силовых цепей;11608729;03.01.2021 05:07;Неисправность проводов  кабелей силовых цепей;Провода  кабели силовых цепей;грузовое;тепловозы;1;03.01.2021;3
расследован;ГАВРИЛОВО;93;нет;есть;;;ВЛ10У;571;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Контактор кулачковый контроллера машиниста;11608755;03.01.2021 06:09;Неисправность контактора кулачкового контроллера машиниста;Контроллер машиниста;грузовое;электровозы;1;03.01.2021;3
расследован;ЯНИСЪЯРВИ;7;нет;есть;;;ТЭП70;244;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы подачи масла;11608836;03.01.2021 08:02;Неисправность трубопровода системы подачи масла;Система подачи масла;пассажирское;тепловозы;1;03.01.2021;3
расследован;ЗАВАРУЙКА;62;нет;нет;;;2ТЭ116;481;3 категория;Приборы безопасности и радиосвязь локомотива  МВПС;Радиостанция РВ-1.1М;11609033;03.01.2021 08:00;Блок ППУ;Радиосвязь на локомотиве  МВПС;грузовое;тепловозы;1;03.01.2021;3
расследован;ВЕЛИКИЕ ЛУКИ;4;нет;нет;;;2ТЭ25КМ;337;3 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы циркуляции воды;11609476;03.01.2021 21:19;Неисправность трубопровода системы циркуляции воды;Система циркуляции воды;грузовое;тепловозы;1;03.01.2021;3
расследован;СПБ-СОРТ-МОСК;8;нет;есть;;;3ЭС4К;15;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Пневматический привод токоприемника;11609523;03.01.2021 23:20;Неисправность пневматического привода токоприемника;Токоприемник;грузовое;электровозы;1;03.01.2021;3
расследован;ХИБИНЫ;61;нет;нет;;;2ЭС5К;243;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Пневматический привод токоприемника;11609565;04.01.2021 01:29;Неисправность пневматического привода токоприемника;Токоприемник;грузовое;электровозы;1;04.01.2021;4
расследован;БОЛЬШ ВИШЕРА-МАЛАЯ ВИШЕРА;10;нет;есть;;;2М62;828;3 категория;Экипажная часть и механическое оборудование локомотива  МВПС;Корпус буксы локомотива  МВПС;11609669;04.01.2021 04:44;Неисправность корпуса буксы локомотива  МВПС;Буксовый узел локомотива  МВПС;хозяйственное;тепловозы;1;04.01.2021;4
